number,asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime
10,B07TMJ1R3X,"[149, 149]",4,"Bought this to replace a nearly 10 year old kindle fire. I'll mostly use this for reading and the occasional movie, for those it works great, and I'm very happy. Do not buy this if you want a replacement or alternative to an iPad or an Android tablet. Access to apps is very limited, you do not have google play like other android tablets. The camera is also very low end, so don't buy expecting to take photos or video. If you buy this with the expectation of a very good e-reader, then you will be very happy.","06 06, 2020",RIHGP1LMRP93Y,A Shopper,Excellent e-reader; Not an iPad or Tablet substitute,1591372800
11,B07TMJ1R3X,"[128, 128]",1,"This device has a great battery life but it's extremely clunky and slow when changing applications. One reason I say this is that when you go from reading to Disney+ it loses Wi-Fi and has to reconnect. This is constant and consistent. You even have trouble when going into the Amazon shopping app. This will probably be fixed at some point with a software update. When it is this will be a great device, until then you'll probably prefer your old one.The
If you are a person who side loads the Google apps on our kindle like I do they work great and the Wi-Fi problems don't occur in the Android apps. They work normally.
Lastly if you stream video then this tablets scream is remarkable. Very good sound and ultra clear video.
Basically it would be great if it downloaded faster than it charged and if you could have reliable wifi. This is the single most annoying tablet I've owned, bar none.
I bought 2 of these and the cases. Day10: I can't even get logged in to mainstreaming service. The device simply drops things. This is consistent on both of them. If you want them you can find them unregistered at the landill. Yep. That bad.
A month in and I only take a shot with this when I have nothing else. It is horrendously slow on the internet and switching functions it's like it has alzheimers. I went back to using my 5th gen fire. It runs circles around this thing.","06 16, 2020",R3UGC94GC20ND8,R. Dennis Hall,"Clunky, slow, in bad need of new software update.",1592236800
12,B07TMJ1R3X,"[112, 112]",1,"I bought this to replace my Kindle fire 8. It is not the same! The Bluetooth does not connect, or reconnect, without multiple steps. The wifi does not auto connect. I have to sign into my Xfinity account over and over. The camera, and the light monitor, are on the side now. This means when you are reading, the reason I BUY a Kindle, it dims when you hold it. If I wanted a tablet for contacting ppl, I'd have bought one. I buy the Kindle to read, and sometimes watch TV. They should not call it a Kindle 8 if it's not the same.","06 18, 2020",RM4SDNN1NQTG6,Jackie,Not a Kindle 8!!😡😡,1592409600
13,B07TMJ1R3X,"[91, 91]",4,"All the negative reviews because it’s not an iPad? Stupid. It’s an inexpensive Amazon media player and it excels at that. Don’t expect it to compete evenly with an iPad or Galaxy Tab costing much more. I deduct one star because it can be laggy. For the $60 sale price, I’m not going to complain too loudly but yeah, it can lag when launching apps. Big deal. The battery life is outstanding and the screen quality, while not the greatest, is still perfectly adequate. I don’t see any pixelization. It’s fine for the price. The cameras are good enough for Zoom or Skype but that’s all...no one buys this for picture taking.

I don’t know why I don’t see this mentioned anywhere, reading many reviews, but the surround sound effects are outstanding! This is a five-star feature on such an inexpensive device. You’ll hear things that you wouldn’t notice on headphones. It’s very much like a 2.1 surround sound stereo system. The main dialog is in the center, but background dialogs can be heard far to the left and the right. It’s a pretty wide soundstage and you’ll be amazed at the things you think you hear over your shoulders. It’s really quite impressive. There isn’t a single time that I use it that I don’t think in wonderment “How the heck do they do that?�?It’s the best part of the device. I don’t know why it isn’t highlighted in more reviews. Since this is primarily a device for videos, this is a very important and impressive feature.

The main video apps are available in the Amazon App Store and they work great—function well, look good, sound amazing. Even for full price it’s hella deal for a media player with huge battery life. It’s solidly built and seems like it would handle small drops but I got a case just to be safe. It also works fine with streaming music apps, and sounds good, but volume output to the speakers is not powerful. Plenty loud with headphones but speaker volume is 3-star rating at best, being small, and not unlike other tablets.

You don’t need to be a tech geek to install the Google Play Store to get whatever apps the Amazon App Store does t have. There are many tutorials on line. It’s simply four files to download and install (in a specific order). It’s easy and works great, adding a little more “real Android tablet�?functionality. That’s just a bonus. This thing is meant for video viewing and works great for that without anything extra.

Overall, it’s a sometimes laggy inexpensive media player with impressive sound quality, if perhaps not as loud as you’d like it to be on the external speakers, great battery life, pretty good screen, and good mobile game rendering. Of course, the Kindle reader works great and you can easily do your email and social media stuff. With some of the missing pieces out of the Google Play Store, it’s a pretty good Android tablet—especially if you can pick it up on sale. I think it’s a solid four-star product. Not perfect but pretty darn good if you keep to its main purpose as a media player.

Finally, as you can see from the attached screenshot, it does function perfectly well as an Android tablet. After you've loaded the Google Play store, download the free Nova Launcher app. This allows you to arrange the screen with apps and widgets however you want. The trick is to place the Nova Launcher icon at the top left position on your Amazon homepage (the stock launcher page). As soon as the homepage loads, simply click the Nova Launcher icon to load it for your own Android experience. Simple!","07 23, 2020",R15ZJBEA0GQ1NP,JeffK JeffK,Think of it as a media player and you’ll love it. It’s GREAT at that.,1595433600
14,B07TMJ1R3X,"[105, 105]",1,"I traded in my Kindle Fire 7 (5th Generation) tablet for this Fire HD 8 tablet. After loading in all the apps from Amazon’s cloud, I discovered that half my apps had disappeared! To be more precise, all of the apps I got from the now defunct Amazon Underground is now GONE!
Of the apps I did have, all of the game apps saved none of my progress. I now will have to start from scratch.
This tablet also did not recognize my SD card from my old Kindle Fire 7 tablet. I had to reformat it in order for this tablet to read it. So all the data that was on that SD card was erased.
This tablet will not let you change Alexa’s wake word as well.
For all of these reasons, I am returning this tablet and will get a Google tablet. I will have to start over with the new tablet, but what choice do I have?","07 05, 2020",R37Z358LQN81IX,Joe Schultz,"If you are thinking of upgrading to the Fire HD 8 tablet, DON’T!",1593878400
15,B07TMJ1R3X,"[88, 88]",1,"After spending a day attempting to make this tablet somewhat usable I have returned it for a refund. I already have one Amazon app and I don't need another.

Pros: The hardware seems pretty solid.  No complaints about hardware

Cons:. Fire OS should be called Fire POS.
First of all, this device has the ugliest interface I have ever seen.  The menu sucks and Amazon takes extreme measures to keep it that way.  After setup  I paid the extra $15 to remove those horrible Amazon ads.     Even with the ads removed this tablet is nothing more than an extension of the Amazon app.   Out of the box you are locked in to only using FireOS apps .   I was able to work around that by manually installing Google play from an apk to install Android apps, however, when it came down to replacing their ugly interface, Amazon has started restricting alternate launcher aps, so if you want to see something other than the Fire POS desktop, you must manually relaunch it constantly or you are back on the default desktop.
Now we get to the Amazon services and apps  that are turned on by default wether you want that or not.   You can disable these in the settings, but I noticed that they do not remain disabled.   I don't like Alexa, I have no inclination to use Alexa and I don't want Alexa running on any of my devices.   Like all of the other proprietary garbage apps that Amazon has installed by default, you can't remove or uninstall any of them.  You can disable them, but you can't remove them from the desktop. The closest workaround I found was to group all of the default garbage apps into a folder together and label it as...""garbage"".
When I purchase a computer or tablet I want to be in control of the apps, appearance and my privacy.   The last thing I need is Amazon deciding what I want.","07 03, 2020",R3OJY7L2C7BQA5,Zardoz,Fire OS is a POS,1593705600
16,B07TMJ1R3X,"[100, 100]",1,"I'm not impressed. I upgraded from a Fire 7th generation 8"" . I can't use a standard charger anymore, so I would have to buy all new cords. In portrait position, it is now shorter and wider. Too wide from my hand so I can't hold it and that's a big problem when I try to hold it any amount of time, also meaning it would get dropped, maybe on my face, and that hurts. I can't find any case for it, so dropping it is more likely to break it. I assume there will be one coming out eventually. The power button is now next to the volume buttons, so I can hit the wrong one half the time. The max volume is not great and sounds tinny. The camera looks a little better, but that's not saying much, the 7th gen one is terrible.","06 11, 2020",R24RZGNNM7VRQK,Linda,Not improved. It's going back.,1591804800
17,B07TMJ1R3X,"[89, 89]",1,I am writing this while crying my eyes out. My son hasn’t been in school since they closed in March and he’s missed it so much. Today was a car parade for him to see all his teachers. I took a video for his last memory of his school and teachers because he’ll be going to a new school. There was no sound to my video. I looked it up and apparently that’s not an uncommon problem with these tablets. I restarted it. I made sure the volume was all the way up. The microphone permission was allowed the day i got it. Nothing worked so this tablet is a complete waste of money for this reason. Worst mistake of my life was getting this.,"06 12, 2020",R375N2HI4FX8D8,Felicia Kennedy,Do not buy!,1591891200
18,B07TMJ1R3X,"[76, 76]",5,I am a big user of Amazon products like Fire tablets and Alexa. This HD 8 boots up extremely fast. The screen movement is very smooth. I own an HD 10 but I like this better because the size makes it easier to hold and manuever. It is much lighter than the 10. I had a concern about the sound quality before receiving it but the sound quality is very good. The charge time is fast and the battery holds charge for a long time. Because of all these positives I will be using this tablet over my 10 on my next trip. I really like this tablet.,"06 06, 2020",R3GT4OYVUZ1MVB,happy listener,"Boots up fast, smooth screen movement, long battery charge, ideal for travel.👍",1591372800
19,B07TMJ1R3X,"[65, 65]",1,"UPDATE: Of all the INCONCEIVABLE things to happen, Amazon had the NERVE to CALL me today about this review. Unbelievably wrong day to pull this nonsense. So, so much the wrong day.

Again, not just a spam email (also received) but a CALL. I have to assume it was either the spam call I ignored or the one I answered and screamed at- BECAUSE I ALREADY GET ENOUGH SPAM TO DRIVE A PERSON TO MADNESS.

I don’t know what their intent was, but it sure makes a lot more sense now why they allow fake reviews and bribery to be rampant on almost every item they sell. Because I can think of no other reason they would contact me in such an invasive way but to try to bribe me into changing this review. A review not based on ad hominem attacks or random nitpicking issues (when I call it “garbage�?I go on later to explain why I feel it is LITERALLY that, for instance), but on the real true weaknesses and problems this device has and on the policies they choose to run their business by. I guess that’s real spooky stuff to them.

I’m APPALLED at this behavior and if anyone out there is still looking for a reason to kick the Amazon habit, here’s another good one. This company is morally bankrupt in every conceivable way.

Honestly, how pathetic. I would not be at all surprised if they simply remove this review next with no explanation given. Please know now to be skeptical of the other good reviews on this product, at the very least.

Original text
———————————————�?

This tablet is horrendous garbage, just like the last one I had. Why do I keep doing this to myself? The price isn't even good enough to justify it based on that anymore.

I hate this object. First of all, ads. They can't even sell this product at a high enough price point to cover its manufacturing costs so they subsidize the cost of that with ads. How immoral is that? What does it say about not just the quality of item you are receiving, but the treatment given to the workers who make these? Do any of us believe for a SECOND they are paid fairly or given all the needed safety measures to do their jobs? How can they be if this item is not even capable of turning a profit (or breaking even) without advertising? So that's, yes, immoral.

The second bout of related immorality is how aggressively these tablets are marketed to parents of SMALL children. A direct advertising pipeline into not even formed yet brains. A KNOWN TO BE DAMAGING electronic babysitter with a new, even more insidious, consumerist twist.

What really drives home the disgustingness of it all is what terrible products these are at the end of the day. I thought upgrading two steps up in versions would make a difference in quality. Even just how better tech becomes available and cheaper every year. Not so with the Kindle fire. The camera is still potato quality. Basically insulting to keep devoting space to it at this point, it's so embarrassing.

The newly improved memory and such means nothing. Games still crash for no reason. It's sluggish. The web browser makes Microsoft's modern attempts adown right browsers look downright award worthy.

I'm leaving that last insane sentence I just wrote intact. Im writing this on my device right now. The typing and spellcheck on it are atrocious. It splits and butchers words, has an EXTREMELY limited word bank, it adds corrected words INTO the misspelled word when you try to correct. On and on. It is the worst user experience possible. Like trying to write a novel on an old Nokia, because EVERY word takes so much effort for the stupid thing to spit out. It can't keep up with my typing and I use ONE FINGER.

I replaced my old Fire because it had planned obsolescence. It stopped recognizing my memory card for no reason one day, and with that, it refused to load my books. It wouldn't open anything. It couldn't support the games it only used to kind of handle in the first place. It bricked itself. And now I find the new version is exactly the same. Same awful camera, same intrusive ads everywhere (Which books are mine and which are just being advertised in the exact same format- no one knows!), same sluggish response times, same poorly designered userinterfaces, and same exact look, feel, design, everything else. The memory isn't an improvement as it's kind of like inflation. Over time, you need more to do the same things you could before as games and apps become more sophisticated, collections grow, new things become accessible on more platforms, etc. (You'd think it would be the opposote, but designers design to the limits of their technology.) So just keeping up with that basic need shouldn't be touted as a feature.

So this is the last Fire I will ever buy. There is clearly no intention here to innovate or even just keep up! This product is permanently stuck in 2007. I don't need novelty or change for changes sake. The problems, weaknesses, and outright failures of this device are so readily apparent it NEEDS to change. But apparently, that's not on the menu. Just the same item, year after year, a new number slapped on it, existing only to replace the last one that died just as planned. So really, garbage. Landfill fodder. In the most literal sense, that is what you are buying here.

It's not worth it. Buy literally anything else.

(Bonus complaint: ebooks are in no way cheaper than regular paper books anymore. The golden age of SANITY is gone. You will pay the same price now for a paper book that you would for one that DOESN'T need deforestation and undervalued human labor to produce, fossil fuels to deliver, and even more of both to haul around with yoh for the rest of your life. (""Yoh"" is a really good autocorrect for ""you""! Wow Kindle, yohre doing such a great job typing! No joke, it really did follow that up by suggesting ""yohre"" for the next sentence. Trash.) In fact, I've found many modern books and bestsellers actually charging MORE for the ebook version. That is evil. I'm not speaking facetiously, I really do believe that is morally wrong. Can't spare one drop of profit to reduce the environmental impact of this class of items. EVIL.)","10 04, 2020",R216STKBRK0CWM,Basil Abraxas,Literal Garbage,1601740800
20,B07TMJ1R3X,"[63, 63]",3,"I ordered the Fire HD 8 Tablet a month ago and was so excited when it arrived. My good feelings towards it ended there. It will not stay connected to my wifi. Every 15 seconds or so it drops the wifi signal and reconnects. It took forever to download apps or watch videos because of this. At first I thought maybe the device just needed to be updated. But it still did the same thing after installing all of the updates. Amazon, I'm giving you a chance to get me away from my Ipad. Meet the moment and step up. I just want the device to work well enough for me to watch videos and read some Kindle books before bed.","06 06, 2020",R1PX3T7CQWP7GQ,S. C. Barrera,Really wanted to like it,1591372800
21,B07TMJ1R3X,"[71, 71]",3,"This arrived today as a replacement for my daughter's 2018 version that has faithfully served her for the last couple of years. I was excited to get a more modern tablet with the USB C interface for charging since we keep losing devices to loose micro-usb plugs.

However, it's not quite ready for release. Just getting it set up with her apps and things I've already had it lock up on me twice and required a reboot, it's generally just as sluggish in the UI as the older tablet, and it's BUGGY. I have been on with support (if you really want to call them that) for over an hour (Edit, ended up at 2.5 hours before I gave up) trying to figure out why apps can't access the camera/microphone in my child's FreeTime profile.

The wifi is also horrible - I am 30' from an Orbi router with 3 other devices that have full wifi and this thing has 1 bar...1. It took FOREVER for it to download apps on our Gigabit internet.

I'd hold off on this one and see if they work out the kinks....I know I am not buying replacements for my other kids at this point in time, even if their old version breaks.

**UPDATE and adding a couple stars from 1 to 3** Amazon reached out to me today and is aware of the issues with FreeTime and permissions and is working on it as well as the overall service experience. The tablet hasn’t locked up since the initial setup either, so I’m going to remain hopeful that it’ll get there. Still not planning on buying any more and may send this one back due to the low WiFi signal and general instability, but would be willing to give it a second chance.","06 05, 2020",R2SLBBNIF96U2G,Jonnio,"Buggy, sluggish, and generally not ready for release",1591286400
22,B07TMJ1R3X,"[53, 53]",5,"I have a couple HD 8 2018 versions. They have 1.5 GB ram. They are not the fastest tablets but work ok. I do have Google Play on one. And for some things they lag and freeze. Hearthstone is terrible on those in my experience. As are some other games.

I also have an HD 10 2019 with the 2GB ram and the nicer screen. That thing does well. It does some some slowdown on Hearthstone and some other stuff. But snappier than the HD 8s are.

So, I see this plus model with 3 GB ram. That extra GB should make a difference. And given that the tablet still runs the lower res. screen compared to the 10 I have I gave it a go. Sure enough, unlike on the others I have had not hanging and freezing on Hearthstone or any of the other games. I have had no noticeable lag. Is it as fast as my LG G8X or my iPad. No, but I get no slowdown. For the price it is great, IMO.

Now, I am going to give Google Play install a shot. Will update my review. But the rating will be the same because I knew going in that this was not a Google Play device but instead and Amazon fork for Amazon consumption.","06 07, 2020",R1467117K0CQ6E,Crazy Logic Error,Love my new HD 8 Plus,1591459200
23,B07TMJ1R3X,"[42, 42]",1,"An absolute piece of crap. I just learned a lesson, read all details. If I had noticed it had Akexa, I would not have bought it. You CAN NOT power it up without hearing an obnoxious screeching chime, you can't disable it. Their answer, turn the volume down when turning it off. It shoves so many notifications for products at you. It will make you scream. After turning off forty notifications it was still overriding my screen with advertisements. I had to dig through several layers of App processes to find where to turn off more. Many ”notifications�?required disabling an App to stop the spying. I have had a Kindle Fire 8.9 for years, its picture quality is far better. After days of searching I realized you can not stop advertisements from popping up on your home screen. Amazon should give this piece of junk away for free and pay you for the information it attempts to get glean for resale. Heed this warning from an IT professional, run.","08 20, 2020",ROJ1P8BQW01QE,hiredkiller,It would make the KGB jealous.,1597852800
24,B07TMJ1R3X,"[45, 45]",2,"I had high hopes for this tablet. Unfotunately im a little dissapointed. I bought it mostly for reading because i was tired of the kindle paperwhite small screen. I do have the 2018 fire 8 so have something to compare. Anyway, after doing all the settings and getting down to reading i see that at the bottom of the screen there is under the glass a stain. I would look as if a very diluted lemon juice was spilled and smadged. Its faint, but it is very disturbing to read. On top of that, it looks like that faded light cream color is seen all around the white page when in reading mode. Looks as if its a bit unclean. Almost like a paper was left in the sun and the edges faded to cream color. I tried changing the background color but i dont like it.
Hopefully with time i will get used to it and will ignore it. Quite a dissapointment. The 2018 seems just a bit better overall.
8.21.2020 after two months of using TWO new tablets i come across a new issue: lately when i buy a few (5-7) books on kindle unlimited and i go to the kindle app on each of the new tablets, the app opens but does not show the list of my books, it jumps back to the home screen. It happens on both tablets. I try to press the download feature quick to avoid the jump back but it doesnt help. It goes back to home page. I try othr things but to no avail. It alway jumps back to home page.
This tablet has a problem thats for sure, a problem with software!!!!!

I have TWO new tablets and i cannot get into my library. It is the only reason i bought these tablets, for reading. Im so angry.!!!

7.23.2020
I just got my second new fire 8 tablet. Comparing it with the one i bought 2 months ago i can see one big difference. The tablet's screen brightness is not the same. In the new one the light is more faded, less bright. A bit like old paper. Both are on full battery and full brightness. Not very happy to see such a difference between two new tablets of the same model.
Shame on the manufacturing.","06 18, 2020",R14T4GZUO9RS0L,Simcha,"Plenty of issues, screen, software etc.",1592409600
